~id,~from,~to,~label
75_sfunk,a_75,s_funk,hasSubgenre
75_sdisco,a_75,s_disco,hasSubgenre
76_1984,a_76,y_1984,hasYear
76_aprince_and_the_revolution,a_76,a_prince_and_the_revolution,hasArtist
76_gelectronic,a_76,g_electronic,hasGenre
76_grock,a_76,g_rock,hasGenre
76_gfunk___soul,a_76,g_funk___soul,hasGenre
76_gstage___screen,a_76,g_stage___screen,hasGenre
76_spop_rock,a_76,s_pop_rock,hasSubgenre
76_sfunk,a_76,s_funk,hasSubgenre
76_ssoundtrack,a_76,s_soundtrack,hasSubgenre
76_ssynth_pop,a_76,s_synth_pop,hasSubgenre
77_1980,a_77,y_1980,hasYear
77_aac_dc,a_77,a_ac_dc,hasArtist
77_grock,a_77,g_rock,hasGenre
77_shard_rock,a_77,s_hard_rock,hasSubgenre
78_1965,a_78,y_1965,hasYear
78_aotis_redding,a_78,a_otis_redding,hasArtist
78_gfunk___soul,a_78,g_funk___soul,hasGenre
78_ssoul,a_78,s_soul,hasSubgenre
79_1969,a_79,y_1969,hasYear
79_aled_zeppelin,a_79,a_led_zeppelin,hasArtist
79_grock,a_79,g_rock,hasGenre
79_sblues_rock,a_79,s_blues_rock,hasSubgenre
79_sclassic_rock,a_79,s_classic_rock,hasSubgenre
79_shard_rock,a_79,s_hard_rock,hasSubgenre
80_1971,a_80,y_1971,hasYear
80_ajohn_lennon,a_80,a_john_lennon,hasArtist
80_grock,a_80,g_rock,hasGenre
80_spop_rock,a_80,s_pop_rock,hasSubgenre
81_1977,a_81,y_1977,hasYear
81_athe_clash,a_81,a_the_clash,hasArtist
81_grock,a_81,g_rock,hasGenre
81_spunk,a_81,s_punk,hasSubgenre
82_1972,a_82,y_1972,hasYear
82_aneil_young,a_82,a_neil_young,hasArtist
82_grock,a_82,g_rock,hasGenre
82_sfolk_rock,a_82,s_folk_rock,hasSubgenre
82_scountry_rock,a_82,s_country_rock,hasSubgenre
82_sclassic_rock,a_82,s_classic_rock,hasSubgenre
83_1967,a_83,y_1967,hasYear
83_athe_jimi_hendrix_experience,a_83,a_the_jimi_hendrix_experience,hasArtist
83_grock,a_83,g_rock,hasGenre
83_spsychedelic_rock,a_83,s_psychedelic_rock,hasSubgenre
83_selectric_blues,a_83,s_electric_blues,hasSubgenre
84_1967,a_84,y_1967,hasYear
84_aaretha_franklin,a_84,a_aretha_franklin,hasArtist
84_gfunk___soul,a_84,g_funk___soul,hasGenre
84_ssoul,a_84,s_soul,hasSubgenre
85_1968,a_85,y_1968,hasYear
85_aaretha_franklin,a_85,a_aretha_franklin,hasArtist
85_gfunk___soul,a_85,g_funk___soul,hasGenre
85_ssoul,a_85,s_soul,hasSubgenre
86_1984,a_86,y_1984,hasYear
86_abruce_springsteen,a_86,a_bruce_springsteen,hasArtist
86_grock,a_86,g_rock,hasGenre
86_spop_rock,a_86,s_pop_rock,hasSubgenre
87_1979,a_87,y_1979,hasYear
87_apink_floyd,a_87,a_pink_floyd,hasArtist
87_grock,a_87,g_rock,hasGenre
87_salternative_rock,a_87,s_alternative_rock,hasSubgenre
87_sprog_rock,a_87,s_prog_rock,hasSubgenre
88_1968,a_88,y_1968,hasYear
88_ajohnny_cash,a_88,a_johnny_cash,hasArtist
88_gfolk,a_88,g_folk,hasGenre
88_gworld,a_88,g_world,hasGenre
88_g__country,a_88,g___country,hasGenre
88_scountry,a_88,s_country,hasSubgenre
89_1969,a_89,y_1969,hasYear
89_adusty_springfield,a_89,a_dusty_springfield,hasArtist
89_grock,a_89,g_rock,hasGenre
89_gfunk___soul,a_89,g_funk___soul,hasGenre
89_spop_rock,a_89,s_pop_rock,hasSubgenre
89_ssoul,a_89,s_soul,hasSubgenre
90_1972,a_90,y_1972,hasYear
90_astevie_wonder,a_90,a_stevie_wonder,hasArtist
90_gfunk___soul,a_90,g_funk___soul,hasGenre
90_ssoul,a_90,s_soul,hasSubgenre
90_sfunk,a_90,s_funk,hasSubgenre
91_1973,a_91,y_1973,hasYear
91_aelton_john,a_91,a_elton_john,hasArtist
91_grock,a_91,g_rock,hasGenre
91_spop_rock,a_91,s_pop_rock,hasSubgenre
91_sclassic_rock,a_91,s_classic_rock,hasSubgenre
92_1978,a_92,y_1978,hasYear
92_abuddy_holly,a_92,a_buddy_holly,hasArtist
92_grock,a_92,g_rock,hasGenre
92_srock___roll,a_92,s_rock___roll,hasSubgenre
93_1987,a_93,y_1987,hasYear
93_aprince,a_93,a_prince,hasArtist
93_grock,a_93,g_rock,hasGenre
93_greggae,a_93,g_reggae,hasGenre
93_sska,a_93,s_ska,hasSubgenre
93_sreggae_pop,a_93,s_reggae_pop,hasSubgenre
94_1984,a_94,y_1984,hasYear
94_ahank_williams,a_94,a_hank_williams,hasArtist
94_gfolk,a_94,g_folk,hasGenre
94_gworld,a_94,g_world,hasGenre
94_g__country,a_94,g___country,hasGenre
94_scountry,a_94,s_country,hasSubgenre
95_1970,a_95,y_1970,hasYear
95_amiles_davis,a_95,a_miles_davis,hasArtist
95_gjazz,a_95,g_jazz,hasGenre
95_sfusion,a_95,s_fusion,hasSubgenre
96_1969,a_96,y_1969,hasYear
96_athe_who,a_96,a_the_who,hasArtist
96_grock,a_96,g_rock,hasGenre
96_spsychedelic_rock,a_96,s_psychedelic_rock,hasSubgenre
97_1963,a_97,y_1963,hasYear
97_abob_dylan,a_97,a_bob_dylan,hasArtist
97_gfolk,a_97,g_folk,hasGenre
97_gworld,a_97,g_world,hasGenre
